TransactionID,CustomerID,ProductID,Price,Qty,TotalAmount,StoreID,StoreName,Product Name
TR11369,328,P3,7500,4,30000,12,Prestasi Utama,Crackers
TR16356,165,P9,10000,7,70000,1,Prima Tendean,Yoghurt
TR1984,183,P1,8800,4,35200,4,Gita Ginara,Choco Bar
TR35256,160,P1,8800,7,61600,4,Gita Ginara,Choco Bar
TR41231,386,P9,10000,1,10000,4,Gita Ginara,Yoghurt
TR51675,283,P10,15000,1,15000,5,Bonafid,Cheese Stick
TR54287,51,P8,16000,2,32000,2,Prima Kelapa Dua,Oat
TR67455,49,P5,4200,3,12600,13,Buana,Thai Tea
TR73041,222,P9,10000,6,60000,4,Gita Ginara,Yoghurt
TR7596,270,P7,9400,2,18800,14,Priangan,Coffee Candy
TR76340,287,P4,12000,4,48000,12,Prestasi Utama,Potato Chip
TR97336,233,P7,9400,2,18800,12,Prestasi Utama,Coffee Candy
TR99839,123,P2,3200,6,19200,1,Prima Tendean,Ginger Candy 
TR14355,203,P3,7500,4,30000,10,Harapan Baru,Crackers
TR16534,421,P3,7500,2,15000,14,Priangan,Crackers
TR2045,32,P7,9400,4,37600,5,Bonafid,Coffee Candy
TR20925,159,P10,15000,2,30000,13,Buana,Cheese Stick
TR26678,321,P6,18000,3,54000,12,Prestasi Utama,Cashew
TR29436,335,P6,18000,3,54000,3,Prima Kota,Cashew
TR30993,14,P10,15000,2,30000,6,Lingga,Cheese Stick
TR33449,18,P6,18000,2,36000,9,Lingga,Cashew
TR34291,333,P7,9400,2,18800,7,Buana Indah,Coffee Candy
TR3533,24,P6,18000,3,54000,10,Harapan Baru,Cashew
TR46701,48,P2,3200,6,19200,9,Lingga,Ginger Candy 
TR48742,87,P5,4200,2,8400,3,Prima Kota,Thai Tea
TR63499,118,P1,8800,7,61600,14,Priangan,Choco Bar
TR66576,250,P7,9400,5,47000,5,Bonafid,Coffee Candy
TR7826,181,P1,8800,10,88000,12,Prestasi Utama,Choco Bar
TR93759,34,P10,15000,2,30000,4,Gita Ginara,Cheese Stick
TR10346,322,P3,7500,4,30000,4,Gita Ginara,Crackers
TR13,285,P8,16000,1,16000,6,Lingga,Oat
TR15573,91,P2,3200,6,19200,13,Buana,Ginger Candy 
TR21783,78,P5,4200,5,21000,10,Harapan Baru,Thai Tea
TR25759,218,P5,4200,4,16800,14,Priangan,Thai Tea
TR26782,237,P10,15000,4,60000,7,Buana Indah,Cheese Stick
TR27698,178,P6,18000,3,54000,8,Sinar Harapan,Cashew
TR31585,144,P2,3200,3,9600,6,Lingga,Ginger Candy 
TR36491,117,P3,7500,4,30000,12,Prestasi Utama,Crackers
TR36846,159,P9,10000,2,20000,7,Buana Indah,Yoghurt
TR40890,224,P6,18000,3,54000,14,Priangan,Cashew
TR45933,406,P4,12000,2,24000,8,Sinar Harapan,Potato Chip
TR45980,7,P3,7500,3,22500,7,Buana Indah,Crackers
TR46171,21,P10,15000,3,45000,10,Harapan Baru,Cheese Stick
TR54686,106,P2,3200,5,16000,10,Harapan Baru,Ginger Candy 
TR74189,202,P7,9400,3,28200,10,Harapan Baru,Coffee Candy
TR86483,45,P8,16000,3,48000,12,Prestasi Utama,Oat
TR9341,202,P7,9400,5,47000,14,Priangan,Coffee Candy
TR14593,311,P6,18000,4,72000,9,Lingga,Cashew
TR14970,136,P10,15000,1,15000,6,Lingga,Cheese Stick
TR2102,23,P5,4200,4,16800,14,Priangan,Thai Tea
TR22313,194,P2,3200,4,12800,2,Prima Kelapa Dua,Ginger Candy 
TR37381,243,P10,15000,2,30000,7,Buana Indah,Cheese Stick
TR41140,78,P9,10000,2,20000,14,Priangan,Yoghurt
TR45300,351,P6,18000,4,72000,11,Sinar Harapan,Cashew
TR48461,117,P5,4200,2,8400,1,Prima Tendean,Thai Tea
TR49210,189,P4,12000,1,12000,7,Buana Indah,Potato Chip
TR50516,304,P10,15000,2,30000,1,Prima Tendean,Cheese Stick
TR51256,433,P9,10000,1,10000,4,Gita Ginara,Yoghurt
TR57427,157,P5,4200,3,12600,5,Bonafid,Thai Tea
TR64821,117,P3,7500,1,7500,2,Prima Kelapa Dua,Crackers
TR68280,36,P8,16000,1,16000,12,Prestasi Utama,Oat
TR86686,403,P5,4200,2,8400,1,Prima Tendean,Thai Tea
TR88044,62,P5,4200,5,21000,1,Prima Tendean,Thai Tea
TR90452,440,P2,3200,5,16000,11,Sinar Harapan,Ginger Candy 
TR98969,355,P8,16000,1,16000,4,Gita Ginara,Oat
TR10602,22,P5,4200,3,12600,11,Sinar Harapan,Thai Tea
TR24114,182,P8,16000,1,16000,4,Gita Ginara,Oat
TR35280,167,P9,10000,1,10000,2,Prima Kelapa Dua,Yoghurt
TR36079,297,P5,4200,4,16800,11,Sinar Harapan,Thai Tea
TR43714,416,P7,9400,2,18800,13,Buana,Coffee Candy
TR46041,7,P9,10000,5,50000,8,Sinar Harapan,Yoghurt
TR60242,304,P4,12000,1,12000,13,Buana,Potato Chip
TR61100,278,P8,16000,2,32000,2,Prima Kelapa Dua,Oat
TR61437,123,P1,8800,4,35200,6,Lingga,Choco Bar
TR84132,22,P9,10000,7,70000,14,Priangan,Yoghurt
TR11638,67,P2,3200,5,16000,12,Prestasi Utama,Ginger Candy 
TR20374,282,P2,3200,5,16000,3,Prima Kota,Ginger Candy 
TR23183,84,P4,12000,4,48000,9,Lingga,Potato Chip
TR24126,30,P2,3200,3,9600,3,Prima Kota,Ginger Candy 
TR32850,306,P2,3200,3,9600,6,Lingga,Ginger Candy 
TR40523,176,P3,7500,4,30000,2,Prima Kelapa Dua,Crackers
TR41572,366,P6,18000,3,54000,3,Prima Kota,Cashew
TR45142,438,P10,15000,4,60000,10,Harapan Baru,Cheese Stick
TR73860,71,P4,12000,4,48000,1,Prima Tendean,Potato Chip
TR74469,340,P5,4200,4,16800,4,Gita Ginara,Thai Tea
TR77963,116,P3,7500,2,15000,7,Buana Indah,Crackers
TR81478,20,P5,4200,4,16800,8,Sinar Harapan,Thai Tea
TR83042,102,P2,3200,6,19200,10,Harapan Baru,Ginger Candy 
TR87914,161,P5,4200,4,16800,9,Lingga,Thai Tea
TR92298,266,P2,3200,6,19200,2,Prima Kelapa Dua,Ginger Candy 
TR95272,84,P7,9400,3,28200,8,Sinar Harapan,Coffee Candy
TR96723,240,P5,4200,4,16800,14,Priangan,Thai Tea
TR97562,264,P5,4200,3,12600,14,Priangan,Thai Tea
TR22660,43,P5,4200,3,12600,13,Buana,Thai Tea
TR23169,189,P1,8800,7,61600,7,Buana Indah,Choco Bar
TR28506,230,P9,10000,3,30000,12,Prestasi Utama,Yoghurt
TR31932,70,P9,10000,4,40000,7,Buana Indah,Yoghurt
TR38873,311,P2,3200,6,19200,5,Bonafid,Ginger Candy 
TR43744,233,P2,3200,6,19200,8,Sinar Harapan,Ginger Candy 
TR60853,74,P2,3200,3,9600,6,Lingga,Ginger Candy 
TR73336,399,P8,16000,3,48000,10,Harapan Baru,Oat
TR74427,43,P8,16000,2,32000,3,Prima Kota,Oat
TR23772,156,P10,15000,1,15000,1,Prima Tendean,Cheese Stick
TR36287,157,P7,9400,2,18800,2,Prima Kelapa Dua,Coffee Candy
TR40790,134,P7,9400,4,37600,8,Sinar Harapan,Coffee Candy
TR4331,335,P3,7500,3,22500,12,Prestasi Utama,Crackers
TR43444,240,P4,12000,5,60000,2,Prima Kelapa Dua,Potato Chip
TR55617,9,P7,9400,5,47000,9,Lingga,Coffee Candy
TR57273,344,P4,12000,1,12000,10,Harapan Baru,Potato Chip
TR648,164,P5,4200,3,12600,5,Bonafid,Thai Tea
TR65337,12,P5,4200,3,12600,3,Prima Kota,Thai Tea
TR6602,211,P8,16000,2,32000,5,Bonafid,Oat
TR67501,85,P4,12000,3,36000,13,Buana,Potato Chip
TR70157,415,P8,16000,2,32000,4,Gita Ginara,Oat
TR84962,55,P3,7500,5,37500,7,Buana Indah,Crackers
TR89167,69,P1,8800,5,44000,10,Harapan Baru,Choco Bar
TR90471,162,P3,7500,3,22500,3,Prima Kota,Crackers
TR14091,307,P1,8800,5,44000,11,Sinar Harapan,Choco Bar
TR28270,140,P2,3200,7,22400,3,Prima Kota,Ginger Candy 
TR48974,170,P10,15000,1,15000,9,Lingga,Cheese Stick
TR52493,354,P8,16000,1,16000,11,Sinar Harapan,Oat
TR52613,135,P5,4200,3,12600,9,Lingga,Thai Tea
TR53447,137,P2,3200,4,12800,5,Bonafid,Ginger Candy 
TR5513,62,P4,12000,4,48000,2,Prima Kelapa Dua,Potato Chip
TR76965,241,P1,8800,8,70400,3,Prima Kota,Choco Bar
TR80326,269,P8,16000,1,16000,2,Prima Kelapa Dua,Oat
TR858,340,P8,16000,2,32000,14,Priangan,Oat
TR8878,415,P5,4200,3,12600,9,Lingga,Thai Tea
TR89449,178,P5,4200,2,8400,11,Sinar Harapan,Thai Tea
TR91332,385,P9,10000,1,10000,10,Harapan Baru,Yoghurt
TR91669,241,P5,4200,5,21000,2,Prima Kelapa Dua,Thai Tea
TR3291,13,P4,12000,5,60000,14,Priangan,Potato Chip
TR45059,17,P1,8800,6,52800,9,Lingga,Choco Bar
TR47932,122,P7,9400,3,28200,7,Buana Indah,Coffee Candy
TR57616,446,P1,8800,7,61600,2,Prima Kelapa Dua,Choco Bar
TR59952,321,P4,12000,5,60000,14,Priangan,Potato Chip
TR6445,181,P3,7500,4,30000,12,Prestasi Utama,Crackers
TR69307,23,P8,16000,1,16000,1,Prima Tendean,Oat
TR69902,108,P7,9400,2,18800,9,Lingga,Coffee Candy
TR7250,49,P1,8800,7,61600,11,Sinar Harapan,Choco Bar
TR77811,329,P10,15000,2,30000,4,Gita Ginara,Cheese Stick
TR80374,223,P8,16000,3,48000,10,Harapan Baru,Oat
TR82224,246,P2,3200,3,9600,12,Prestasi Utama,Ginger Candy 
TR8236,249,P2,3200,6,19200,7,Buana Indah,Ginger Candy 
TR8369,64,P3,7500,1,7500,4,Gita Ginara,Crackers
TR86436,26,P10,15000,1,15000,14,Priangan,Cheese Stick
TR88217,442,P9,10000,1,10000,8,Sinar Harapan,Yoghurt
TR95284,229,P2,3200,3,9600,2,Prima Kelapa Dua,Ginger Candy 
TR18566,8,P3,7500,3,22500,8,Sinar Harapan,Crackers
TR23232,168,P2,3200,6,19200,1,Prima Tendean,Ginger Candy 
TR36166,256,P10,15000,5,75000,12,Prestasi Utama,Cheese Stick
TR36685,196,P2,3200,6,19200,2,Prima Kelapa Dua,Ginger Candy 
TR40960,394,P6,18000,1,18000,4,Gita Ginara,Cashew
TR47732,329,P2,3200,6,19200,4,Gita Ginara,Ginger Candy 
TR57918,72,P4,12000,5,60000,6,Lingga,Potato Chip
TR59286,278,P7,9400,6,56400,8,Sinar Harapan,Coffee Candy
TR63021,393,P8,16000,1,16000,12,Prestasi Utama,Oat
TR64748,232,P5,4200,4,16800,9,Lingga,Thai Tea
TR6627,339,P9,10000,6,60000,10,Harapan Baru,Yoghurt
TR71791,295,P7,9400,5,47000,3,Prima Kota,Coffee Candy
TR75052,151,P3,7500,1,7500,2,Prima Kelapa Dua,Crackers
TR76046,16,P8,16000,2,32000,1,Prima Tendean,Oat
TR84499,312,P3,7500,3,22500,2,Prima Kelapa Dua,Crackers
TR85582,145,P5,4200,4,16800,14,Priangan,Thai Tea
TR93692,244,P5,4200,5,21000,10,Harapan Baru,Thai Tea
TR94450,213,P3,7500,6,45000,4,Gita Ginara,Crackers
TR24515,347,P10,15000,2,30000,7,Buana Indah,Cheese Stick
TR24817,287,P3,7500,1,7500,8,Sinar Harapan,Crackers
TR25833,135,P2,3200,4,12800,5,Bonafid,Ginger Candy 
TR28633,201,P9,10000,6,60000,2,Prima Kelapa Dua,Yoghurt
TR39671,52,P10,15000,2,30000,7,Buana Indah,Cheese Stick
TR4401,342,P4,12000,5,60000,3,Prima Kota,Potato Chip
TR49649,154,P10,15000,1,15000,10,Harapan Baru,Cheese Stick
TR69772,112,P8,16000,1,16000,5,Bonafid,Oat
TR76028,301,P1,8800,8,70400,4,Gita Ginara,Choco Bar
TR9420,28,P8,16000,3,48000,9,Lingga,Oat
TR94326,167,P9,10000,2,20000,13,Buana,Yoghurt
TR17988,112,P6,18000,1,18000,2,Prima Kelapa Dua,Cashew
TR23621,156,P7,9400,2,18800,6,Lingga,Coffee Candy
TR31421,427,P6,18000,3,54000,2,Prima Kelapa Dua,Cashew
TR33225,286,P1,8800,3,26400,4,Gita Ginara,Choco Bar
TR37826,149,P7,9400,6,56400,6,Lingga,Coffee Candy
TR48412,275,P4,12000,2,24000,3,Prima Kota,Potato Chip
TR61271,442,P1,8800,3,26400,12,Prestasi Utama,Choco Bar
TR75546,34,P5,4200,4,16800,6,Lingga,Thai Tea
TR83152,420,P10,15000,1,15000,10,Harapan Baru,Cheese Stick
TR97807,324,P6,18000,3,54000,12,Prestasi Utama,Cashew
TR16701,426,P4,12000,1,12000,14,Priangan,Potato Chip
TR19443,295,P9,10000,6,60000,2,Prima Kelapa Dua,Yoghurt
TR22474,231,P3,7500,2,15000,8,Sinar Harapan,Crackers
TR43117,267,P10,15000,4,60000,1,Prima Tendean,Cheese Stick
TR63072,210,P7,9400,5,47000,3,Prima Kota,Coffee Candy
TR68172,131,P5,4200,5,21000,14,Priangan,Thai Tea
TR82815,206,P7,9400,3,28200,9,Lingga,Coffee Candy
TR88153,303,P5,4200,3,12600,1,Prima Tendean,Thai Tea
TR94606,329,P10,15000,2,30000,13,Buana,Cheese Stick
TR11326,433,P9,10000,2,20000,11,Sinar Harapan,Yoghurt
TR13287,2,P5,4200,2,8400,9,Lingga,Thai Tea
TR14344,300,P7,9400,2,18800,4,Gita Ginara,Coffee Candy
TR1445,171,P5,4200,3,12600,13,Buana,Thai Tea
TR16248,130,P2,3200,7,22400,10,Harapan Baru,Ginger Candy 
TR21056,62,P8,16000,3,48000,5,Bonafid,Oat
TR30914,241,P3,7500,5,37500,2,Prima Kelapa Dua,Crackers
TR32340,121,P5,4200,3,12600,4,Gita Ginara,Thai Tea
TR33508,234,P4,12000,5,60000,8,Sinar Harapan,Potato Chip
TR34660,85,P10,15000,5,75000,2,Prima Kelapa Dua,Cheese Stick
TR37177,93,P5,4200,3,12600,8,Sinar Harapan,Thai Tea
TR37379,48,P10,15000,5,75000,2,Prima Kelapa Dua,Cheese Stick
TR38169,444,P4,12000,1,12000,9,Lingga,Potato Chip
TR41344,306,P8,16000,2,32000,1,Prima Tendean,Oat
TR44149,197,P4,12000,2,24000,8,Sinar Harapan,Potato Chip
TR54663,361,P1,8800,8,70400,1,Prima Tendean,Choco Bar
TR65307,443,P5,4200,4,16800,4,Gita Ginara,Thai Tea
TR71470,217,P10,15000,5,75000,14,Priangan,Cheese Stick
TR71650,142,P5,4200,5,21000,7,Buana Indah,Thai Tea
TR76485,434,P9,10000,3,30000,5,Bonafid,Yoghurt
TR85027,216,P2,3200,6,19200,1,Prima Tendean,Ginger Candy 
TR8647,378,P1,8800,9,79200,9,Lingga,Choco Bar
TR88822,59,P7,9400,3,28200,1,Prima Tendean,Coffee Candy
TR96420,351,P9,10000,5,50000,8,Sinar Harapan,Yoghurt
TR98224,40,P6,18000,4,72000,10,Harapan Baru,Cashew
TR1576,138,P1,8800,2,17600,7,Buana Indah,Choco Bar
TR16100,184,P9,10000,5,50000,11,Sinar Harapan,Yoghurt
TR17745,150,P2,3200,5,16000,2,Prima Kelapa Dua,Ginger Candy 
TR19359,105,P10,15000,5,75000,13,Buana,Cheese Stick
TR40245,355,P6,18000,3,54000,12,Prestasi Utama,Cashew
TR4066,342,P10,15000,4,60000,10,Harapan Baru,Cheese Stick
TR44922,209,P10,15000,1,15000,1,Prima Tendean,Cheese Stick
TR52563,278,P8,16000,3,48000,3,Prima Kota,Oat
TR66649,299,P8,16000,3,48000,1,Prima Tendean,Oat
TR88920,447,P8,16000,1,16000,4,Gita Ginara,Oat
TR95280,423,P10,15000,1,15000,10,Harapan Baru,Cheese Stick
TR12572,264,P1,8800,8,70400,1,Prima Tendean,Choco Bar
TR16416,162,P8,16000,2,32000,11,Sinar Harapan,Oat
TR19683,446,P10,15000,5,75000,13,Buana,Cheese Stick
TR28079,217,P5,4200,3,12600,11,Sinar Harapan,Thai Tea
TR28209,447,P3,7500,5,37500,9,Lingga,Crackers
TR2841,16,P7,9400,6,56400,2,Prima Kelapa Dua,Coffee Candy
TR28854,136,P9,10000,4,40000,8,Sinar Harapan,Yoghurt
TR28928,110,P10,15000,5,75000,4,Gita Ginara,Cheese Stick
TR3941,177,P7,9400,2,18800,7,Buana Indah,Coffee Candy
TR55188,398,P5,4200,5,21000,6,Lingga,Thai Tea
TR67971,177,P2,3200,5,16000,2,Prima Kelapa Dua,Ginger Candy 
TR81233,71,P3,7500,6,45000,13,Buana,Crackers
TR84034,439,P5,4200,5,21000,8,Sinar Harapan,Thai Tea
TR8508,401,P5,4200,4,16800,14,Priangan,Thai Tea
TR88404,296,P5,4200,5,21000,3,Prima Kota,Thai Tea
TR91007,37,P10,15000,5,75000,2,Prima Kelapa Dua,Cheese Stick
TR98921,187,P8,16000,2,32000,9,Lingga,Oat
TR18620,306,P2,3200,4,12800,1,Prima Tendean,Ginger Candy 
TR3743,83,P3,7500,4,30000,13,Buana,Crackers
TR40659,368,P3,7500,6,45000,6,Lingga,Crackers
TR49285,240,P3,7500,1,7500,11,Sinar Harapan,Crackers
TR52721,356,P8,16000,3,48000,12,Prestasi Utama,Oat
TR53728,120,P5,4200,3,12600,7,Buana Indah,Thai Tea
